series,episode,baker,signature,technical,showstopper
8,4,Liam,Salted Peanut Butter Millionaire Shortbreads,3rd,White Layered Ginger Caramel Cake
8,4,Sophie,Jaffa Millionaire Shortbreads,4th,Bird's Nest Caramel Cake
8,4,Stacey,Rum Salted Caramel Millionaire Shortbreads,1st,Chocolate and Coffee Caramel Cake
8,4,Steven,Orange Macadamia Nut Millionaire Shortbreads,7th,Caramel Crown Cake
8,4,Tom,Stem Ginger Caramel Millionaire Shortbreads,5th,Hummingbird Cake
8,4,Yan,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,8th,Animals of the Rainforest Caramel Cake
8,5,James,Orange and Ginger Steamed School Pudding,7th,'The Missed Silver Jubilee' Trifle Terrine
8,5,Julia,Orange & Treacle Steamed School Pudding,3rd,'Opulent Ornament' Trifle Terrine
8,5,Kate,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,8th,'My Great Great Nan's' Raspberry Trifle Terrine
8,5,Liam,Cherries & Lemons that are 'Baked Well',2nd,'Cheers Lads' Trifle Terrine
8,5,Sophie,"Ginger, Fig and Honey Steamed School Pudding",1st,"Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine"
8,5,Stacey,Bakewell Tart Steamed School Pudding,4th,Tropical Trifle Terrine
8,5,Steven,Lemon & Blackcurrant Drizzle Steamed School Pudding,5th,'From Across the Jelly Pond' Trifle Terrine
8,5,Yan,Mango Fruit Hat Steamed School Pudding,6th,'Heart of a Hero' Trifle Terrine
8,6,Julia,'Pies from the Tree' Decorative Pies,7th,'Special Occasion' Pie
8,6,Kate,'Vegetarian Pie Faces' Decorative Pies,5th,Potato Curry Pie with Mango & Chilli Glaze
8,6,Liam,'Standard FC' Decorative Pies,4th,'Nan's Sunday Dinner' Pie
8,6,Sophie,'The Four Seasons' Decorative Pies,2nd,Game Pie with Glazed Forest Fruits
8,6,Stacey,'Love Theme' Decorative Pies,6th,Indian Hand Raised Pie with Mango
8,6,Steven,'Fleetwood Mac' Decorative Pies,3rd,Christmas Pie
8,6,Yan,'πr2' Decorative Pies,1st,Chequerboard Pie
8,7,Kate,'Happy Hour' Cocktail Cannoli,6th,'Flavour Fusion' Sfogliatelle
8,7,Liam,'Just Doing Me' Cannoli,2nd,'Morning Delivery' Sfogliatelle
8,7,Sophie,'Classics with a Twist' Cannoli,3rd,'Classics' Sfogliatelle
8,7,Stacey,My All Time Favourite Desserts,4th,Pastry Surprise
8,7,Steven,Italian Style Cannoli,1st,'Sicilian-style' Sfogliatelle
8,7,Yan,Cannoli Cocktails,5th,Canadian-Style Sfogliatelle
8,8,Kate,Burrito Bedfordshire Clangers,2nd,'Liver Building Turret' Savoy Cake
8,8,Liam,'Take Out' Bedfordshire Clangers,5th,'Fort Wizardore' Savoy Cake
8,8,Sophie,Char Siu & Banana Praline Bedfordshire Clangers,4th,Citrus with Green Apple Croquembouche Savoy Cake
8,8,Stacey,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,3rd,'Bright' Lemon & Orange Savoy Cake
8,8,Steven,'Mediterranean Medley' Bedfordshire Clangers,1st,Chestnut Rum Savoy Cake
8,9,Kate,Bellini and Valencian Orange Choux Buns,4th,'Rainbow' Meringue Centrepiece
8,9,Sophie,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,1st,'Tutu with Opera Filling' Meringue Centrepiece
8,9,Stacey,'Choux-nicorn and Choux-moji' Choux Buns,2nd,'Flamingos in Love' Meringue Centrepiece
8,9,Steven,Key Lime Cheesecake and Bakewell Tart Choux Buns,3rd,'Some Air Over the Rainbow' Meringue Centrepiece
8,10,Kate,"Roman Spelt, Coconut Kala Chana and Flower Breads",3rd,"White Chocolate, Yuzu and Lychee Entremet"
8,10,Sophie,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",2nd,'Ode to the Honey Bee' Entremet
8,10,Steven,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",1st,'Yin Yang' Entremet
